"type_2","type_3","id","dob","country","head_of_org","revenue","last_edited_by","last_edited_date","date_added","raw_source","algorithm"
"Organization","Company","Adams LLC",NA,"Lumakari","Carla Bailey",6720618.68,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FishingCompany","Adams PLC",NA,"Rio Isla","Julio Segura Grijalva",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Boyer and Osborne",NA,"Wysterion","Jacob Davis",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Brown and Fuentes",NA,"Naraliket","Gabriela Mariana Coronado Mojica",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Bryant and Johnson",NA,"Naraliket","Erika Peano-Galuppi",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Cole and Waters",NA,"Oceanus","María Cristina de León",5728.12,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Gross and Marshall",NA,"Azurionix","Arthur Rocher",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Hall and Thompson",NA,"Mawalara","Georges-David Prévost",7236.04,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Harris and Floyd",NA,"Calabrand","Linda Cook",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Hernandez and Butler",NA,"Imazam","Tammy Barrera",6560.38,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Hernandez and Vaughn",NA,"Rio Isla","Matilda Mazzeo",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Jones and Miranda",NA,"Uzifrica","Chloe Ortiz",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Jordan and Lynch",NA,"Lumakari","Martine Sanchez",5116.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Montgomery and Williams",NA,"Uzifrica","Sean Thompson",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Simmons and Carter",NA,"Arvaros","Émilie de la Lamy",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Smith and Wright",NA,"Oceanus","Dott. Gloria Balbi",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams, Stephens and Smith",NA,"Novarctica","Itzel Rangel",21228.49,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams-Byrd",NA,"Nalakond","Roberto Soria Ochoa",147539.81,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams-Friedman",NA,"Azurionix","Raffaello Necci",4666.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams-Gonzalez",NA,"Rio Isla","Stefani Scaduto",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams-Hall",NA,"Oceanus","John Morris",4906.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams-Hernandez",NA,"Oceanus","Vincenza Sandi-Falcone",6612.37,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams-Larson",NA,"Oceanus","Mayte Santacruz Montez",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams-Lewis",NA,"Oceanus","Patricia Alonzo",11666.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams-Murray",NA,"Naraliket","Conchita Lucio Treviño",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams-Nguyen",NA,"Mawalara","Virginia Acuña",7018.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams-Perkins",NA,"Quornova","Louis Baker",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FishingCompany","Adkins LLC",NA,"Imazam","Toni Torricelli",35988.71,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FishingCompany","Adkins Ltd",NA,"Nalakond","Étienne Vallet",41274.58,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adkins PLC",NA,"Mawalara","Jean Roussel",7314.34,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adkins, Duncan and Thompson",NA,"Mawalara","Susanne Nicolas",5780.52,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adkins, Jones and Dickson",NA,"Uzifrica","Eliana Moneta",262347.88,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","LogisticsCompany","Adkins-Lawrence",NA,"Imazam","Esther Rodrigo Pizarro Ávalos",67088.64,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Aguilar and Sons",NA,"Mawalara","Larry Griffin",8370.7,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Aguilar Group",NA,"Oceanus","Mtro. Juan Carlos Polanco",10882.06,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Aguilar LLC",NA,"Quirinelle","James Smith",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Aguilar, Carr and Logan",NA,"Uzifrica","Ing. Guillermina Toro",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Aguilar-Johnson",NA,"Mawalara","Abelardo Aparicio",4766.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Aguilar-Martin",NA,"Oceanus","Michael Hunt",4796.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Aguilar-Rogers",NA,"Mawalara","Rita Celentano",647149.98,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Aguilar-Williams",NA,"Imazam","Angelina Travaglio",129154.47,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Aguirre LLC",NA,"Oceanus","Bruno Mondaini-Cilea",15266.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Aguirre-Anderson",NA,"Mawalara","Joseph Yates",13736.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Aguirre-Bennett",NA,"Nalakond","Federica Giannone",21737.01,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Aguirre-Golden",NA,"Isla Solmar","Aria Morandini",125262.6,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FishingCompany","Alexander Inc",NA,"Mawalara","Célina Barthelemy",4669.55,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander LLC",NA,"Oceanus","Marissa Lancisi",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander Ltd",NA,"Brindisola","Tullio Gulotta",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander, Adams and Huff",NA,"Oceanus","Flora Trevisan-Fallaci",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander, Dunn and Brown",NA,"Coralada","Lic. Ángela Cabrera",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander, Duran and Benton",NA,"Oceanus","Justin Miller",14266.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander, Harris and Rhodes",NA,"Wysterion","Nathalie Labbé",7557.91,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander, Neal and King",NA,"Thessalandia","Isaac Liliana Bueno Perea",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander, Richmond and Franklin",NA,"Mawalara","Richard Williams",9725.66,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander, Vincent and Pacheco",NA,"Oceanus","Sharon Thompson",12513.54,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander-Kennedy",NA,"Mawalara","Alain Tanguy",5178.96,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander-Owens",NA,"Mawalara","Evelyn Ortiz",16040.15,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander-Stevens",NA,"Uzifrica","Fiorenzo Bonomo",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alexander-Wagner",NA,"Mawalara","Brett Gonzalez",8296.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Ali, Lin and Morris",NA,"Oceanus","Louise Marty",17066.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Ali, Steele and Sanders",NA,"Uzifrica","Mario Felix Quesada",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Ali-Collins",NA,"Oceanus","Joséphine-Geneviève Pascal",6858.85,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen and Sons",NA,"Mawalara","Deanna Green",24366.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen Group",NA,"Osterivaria","Dr. Carl Williams",42766.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen Inc",NA,"Oceanus","Sonia Paolini",12743.79,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen Ltd",NA,"Oceanus","Zaira Musatti",23131.91,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen PLC",NA,"Naraliket","René Luis Miguel Llamas Corral",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Bauer and Gill",NA,"Mawalara","Amy Harris",138594.83,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Chang and Ellis",NA,"Mawalara","Pina Munari",22366.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Edwards and Jones",NA,"Oceanus","Rodrigo Araceli Carrión Mota",22366.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Hunt and Lyons",NA,"Mawalara","Florencia Sepúlveda",23566.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Jacobson and Owen",NA,"Oceanus","Ana María Fabiola Alarcón Solorio",14054.8,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Lewis and Mullins",NA,"Imazam","Camillo Tognazzi",8106.66,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FinancialCompany","Allen, Mcfarland and Avila",NA,"Oceanus","Salvi Gatto",91222.07,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Miller and Davenport",NA,"Quirinelle","Philippine Ferrand",404585.82,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Mitchell and Shaw",NA,"Naraliket","Fernando Tapia",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Nash and Meadows",NA,"Oceanus","Luce Lacroix",5186.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Nichols and Thompson",NA,"Mawalara","Arcelia Rodrigo Gaytán",12846.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FishingCompany","Allen, Olson and Ortiz",NA,"Oceanus","Ermanno Tozzi",17066.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Russell and Maldonado",NA,"Azurionix","Claudio Ángel Jáquez",4714.09,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Smith and Zamora",NA,"Novarctica","Julio Mateo Alvarez",11506.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FishingCompany","Allen, Soto and Anderson",NA,"Uzifrica","Jennifer Sanchez",65066.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","LogisticsCompany","Allen, Stewart and Nichols",NA,"Mawalara","Lic. Alejandra Valenzuela",22926.59,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Thomas and Miller",NA,"Mawalara","Ing. Adán Delgado",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Thompson and Sullivan",NA,"Quornova","Aria Frescobaldi",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen, Villa and Allen",NA,"Galduzim","Michèle Léger-Dupré",20788.89,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen-Beltran",NA,"Oceanus","Sr(a). Dolores Sauceda",24566.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen-Flores",NA,"Mawalara","Guarino Nolcini",10916.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen-Jackson",NA,"Marifada","María Elena René Montaño Mendoza",10286.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen-Jennings",NA,"Oceanus","Donatella Curatoli-Renzi",6831.17,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen-Landry",NA,"Uzifrica","Brandon Drake",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen-Lopez",NA,"Naraliket","Frédérique Huet",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","LogisticsCompany","Allen-Martin",NA,"Oceanus","Édith Ledoux",28278.42,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen-Montgomery",NA,"Naraliket","Tristan Hebert",70047.66,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen-Peterson",NA,"Oceanus","Bianca Lozada Llamas",5596.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen-Riggs",NA,"Oceanus","Benoît Boulay de Rousset",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen-Taylor",NA,"Mawalara","Megan Blackburn",37566.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen-Vaughn",NA,"Oceanus","Arcelia Acosta Zelaya",13627.4,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allen-Weiss",NA,"Oceanus","Leah Thompson",5246.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allison-Delacruz",NA,"Naraliket","Carlota Guardado",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Allison-Holt",NA,"Oceanus","Cynthia Vera",10881.6,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarado and Sons",NA,"Andenovia","Cécile Caron",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarado Inc",NA,"Imazam","Matthieu-Éric Raynaud",104166.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarado LLC",NA,"Oceanus","Elisa Victoria Chavarría Ponce",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarado, Church and Lopez",NA,"Oceanus","Gianni Almagià",13546.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FishingCompany","Alvarado-Alvarez",NA,"Oceanus","Michael Clark",90266.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarado-Hanson",NA,"Mawandia","Sylvie Royer",20025.06,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarado-Mckee",NA,"Naraliket","Milena Salieri-Ungaretti",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FishingCompany","Alvarez Group",NA,"Quornova","Martin Verdier",24966.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarez Inc",NA,"Mawalara","Eva Bersani",375759.21,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarez LLC",NA,"Mawalara","Suzanne Jean",7446.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarez Ltd",NA,"Coralada","Marcela Henríquez Godoy",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FishingCompany","Alvarez PLC",NA,"Oceanus","Ruby Rosado",30019.58,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarez, Dominguez and Costa",NA,"Arvaros","Adamo Broschi",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarez, Edwards and Aguirre",NA,"Valtalmo","Piersanti Panatta",8995.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarez, Fowler and Thompson",NA,"Mawalara","Eliana Farinelli",12575.85,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarez, Lee and Potts",NA,"Oceanus","Roland Grondin",5156.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarez, Wilkinson and Jackson",NA,"Novarctica","Carla Laura Lerma Medrano",10121.78,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarez-Barker",NA,"Oceanus","Patricia Itzel Toro",82366.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarez-Padilla",NA,"Oceanus","Frédéric Lopes",14966.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarez-Rogers",NA,"Lumakari","Michel-Christophe Boulay",25661.31,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Alvarez-Singleton",NA,"Oceanus","Monica Ramirez",27432.2,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FishingCompany","Ancla del Este Sp Fish",NA,"Uzifrica","Laura Edwards",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Andersen LLC",NA,"Arvaros","Rosario Luis Miguel Carrero",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Anderson and Sons",NA,"Oceanus","Laura Borsiere-Tozzo",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
